RepeatUnitSMILES,PropertyValue,TestFreq,TestFreqUnit,TestTemp,TestTempUnit
*c7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6)c7,0.00069,1000,KHz,25,C
*Sc1ccc(*)cc1,0.0007,1,KHz,30,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0007,0.1,KHz,100,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0007,0.4,KHz,100,C
*Oc5ccc(c1ccccc1c2ccccc2c4ccc(OC(=O)c3ccc(C(*)=O)cc3)cc4)cc5,0.0007,1,KHz,250,C
*CC(*)CC(C)C,0.0007,0.001,KHz,125,C
*CC(*)CC(C)C,0.0007,0.001,KHz,150,C
*CC(*)CC(C)C,0.0007,0.001,KHz,175,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0007,0.001,kHz,-150,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0007,0.1,kHz,-150,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0007,0.001,KHz,-150,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0007,0.01,KHz,-150,C
*c9cccc(Oc8cccc(Oc7cccc(Oc6cccc(Oc5cccc(n4c(=O)c3ccc(C(c2ccc1c(=O)n(*)c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5)c6C#N)c7C#N)c8C#N)c9,0.0007,0.1,KHz,-150,C
