RepeatUnitSMILES,td_value
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-n5nc(-c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)c6ccccc6c5=O)cc4C3=O)cc2)cc1,526.5
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,553
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)cc1,553
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2-c2ccccc2)cc1,555
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)cc1,564
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,559
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,495
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)c(-c2ccccc2)c1,536.5
*c1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,552
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7cccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)c7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,511.6666667
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,518
*c1ccc(-n2nc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(-c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)c3ccccc3c2=O)cc1,527.25
*c1ccc(N2COc3c(ccc4c5c(ccc34)CN(c3ccc(C#CC#*)cc3)CO5)C2)cc1,409
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,523
*c1ccc(Cc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,542
*c1ccc(-c2ccc(N3C(=O)c4cccc(Oc5ccc(Oc6cccc7c6C(=O)N(*)C7=O)cc5)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,516.25
*c1ccc(-c2ccc(N3C(=O)c4cccc(-c5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,570
*c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,544.25
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,582.6
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,578
*c1ccc(C2(c3ccc(N4C(=O)c5cccc(-c6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,561
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c3ccccc3-c3ccccc32)cc1,546.6
*c1ccc(C(c2ccc(Oc3cccc(*)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,430
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,543
*c1ccc(C(=O)c2ccc(-n3nc(-c4ccc(Oc5cccc(Oc6ccc(-c7nn(*)c(=O)c8ccccc78)cc6)c5C#N)cc4)c4ccccc4c3=O)cc2)cc1,506.4285714
*c1ccc(C#Cc2ccc(N3C(=O)c4ccc([Si](C)(C)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,531
*c1ccc(C#C[SiH](*)C)cc1,634
*c1ccc([SiH](*)C)c(C#N)c1,660
*c1ccc([Si](C)(C=C)c2ccc(-c3cn(-c4ccc(-n5cc(*)nn5)cc4)nn3)cc2)cc1,325
*c1ccc([Si](C)(C)c2ccc(-c3cn(-c4ccc(-n5cc(*)nn5)cc4)nn3)cc2)cc1,322
*c1ccc([Si](*)(OCC)OCC)cc1,450
*c1ccc([Si](*)(OCC)c2ccccc2)cc1,441
*c1ccc([Si](*)(OCC)c2ccc(CN(C)C)cc2)cc1,365
*c1ccc([Si](*)(CCCC)CCCC)cc1,437
*c1ccc([Si](*)(c2cc(C#C)cc(C#C)c2)c2cc(C#C)cc(C#C)c2)cc1,791
*c1ccc([Si](*)(C)OCC)cc1,465
*c1ccc([Si](*)(C)CCCC)cc1,453
*c1ccc([Si](*)(C)c2ccccc2)cc1,495
*c1ccc([Si](*)(C)c2ccc(CN(C)C)cc2)cc1,394
*c1ccc([Si](*)(C)c2ccc(C#C[SiH](C)C)cc2)cc1,490
*c1ccc([Si](*)(C)c2ccc(C#C[Si](C)(C)C)cc2)cc1,440
*c1ccc([Si](*)(C)c2ccc(C#C)cc2)cc1,568
*c1ccc([Si](*)(C)C=C)cc1,486
*c1ccc([Si](*)(C)C#C)cc1,452
*c1cc(OCC#C)cc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,446
*C1B(B(B(B)B)B(B)B(B)B)C1c1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C[Si](*)(C)C)c2)c1,552
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(-c3ccc(*)cc3)cc2)c2c1CC2,467.2
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)cc2)c2c1CC2,442.9
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)c3c2CC3)cc1,461.9
*C=C[Si](C)(C)c1ccc([Si](C)(C)C=Cc2ccc(*)c3c2CC3)c2c1CC2,491.8
*C/C=C/C[Si](*)(c1ccccc1)c1ccccc1,275
*C(=O)Nc1cccc(Oc2cccc(C#N)c2C#N)c1,303
*C#CCOc1cccc(OCC#C[Si](*)(C)C)c1,438
*C#CCOc1ccc(S(=O)(=O)c2ccc(OCC#C[SiH](*)c3ccccc3)cc2)cc1,481
*C#CCOc1ccc(Oc2ccc(OCC#CC(C)(C)C#CCOc3ccc(Oc4ccc(OCC#C*)cc4)cc3)cc2)cc1,418
